instance_id,best_known_value,status,source,checked_date
tai100_10_00,5770,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai100_10_01,5349,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai100_10_02,5677,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai100_10_03,5791,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai100_10_04,5468,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai100_10_05,5303,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai100_10_06,5599,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai100_10_07,5623,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai100_10_08,5875,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai100_10_09,5845,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai100_20_00,6286,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai100_20_01,6241,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai100_20_02,6329,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai100_20_03,6306,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai100_20_04,6377,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai100_20_05,6437,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai100_20_06,6346,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai100_20_07,6481,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai100_20_08,6358,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai100_20_09,6465,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai100_5_00,5493,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
