instance_id,best_known_bins,status,source,checked_date
Hard28_BPP119,77,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schoenfield Hard28; LB=77; UB=77),2026-07-01
Hard28_BPP13,67,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schoenfield Hard28; LB=67; UB=67),2026-07-01
Hard28_BPP14,62,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schoenfield Hard28; LB=62; UB=62),2026-07-01
Hard28_BPP144,73,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schoenfield Hard28; LB=73; UB=73),2026-07-01
Hard28_BPP175,84,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schoenfield Hard28; LB=84; UB=84),2026-07-01
Hard28_BPP178,80,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schoenfield Hard28; LB=80; UB=80),2026-07-01
Hard28_BPP181,72,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schoenfield Hard28; LB=72; UB=72),2026-07-01
Hard28_BPP195,64,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schoenfield Hard28; LB=64; UB=64),2026-07-01
Hard28_BPP359,76,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schoenfield Hard28; LB=76; UB=76),2026-07-01
Hard28_BPP360,62,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schoenfield Hard28; LB=62; UB=62),2026-07-01
Hard28_BPP40,59,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schoenfield Hard28; LB=59; UB=59),2026-07-01
Hard28_BPP419,80,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schoenfield Hard28; LB=80; UB=80),2026-07-01
Hard28_BPP47,71,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schoenfield Hard28; LB=71; UB=71),2026-07-01
Hard28_BPP485,71,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schoenfield Hard28; LB=71; UB=71),2026-07-01
Hard28_BPP531,83,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schoenfield Hard28; LB=83; UB=83),2026-07-01
Hard28_BPP561,72,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schoenfield Hard28; LB=72; UB=72),2026-07-01
Hard28_BPP60,63,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schoenfield Hard28; LB=63; UB=63),2026-07-01
Hard28_BPP640,74,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schoenfield Hard28; LB=74; UB=74),2026-07-01
Hard28_BPP645,58,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schoenfield Hard28; LB=58; UB=58),2026-07-01
Hard28_BPP709,67,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schoenfield Hard28; LB=67; UB=67),2026-07-01
Hard28_BPP716,76,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schoenfield Hard28; LB=76; UB=76),2026-07-01
Hard28_BPP742,64,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schoenfield Hard28; LB=64; UB=64),2026-07-01
Hard28_BPP766,62,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schoenfield Hard28; LB=62; UB=62),2026-07-01
Hard28_BPP781,71,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schoenfield Hard28; LB=71; UB=71),2026-07-01
Hard28_BPP785,68,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schoenfield Hard28; LB=68; UB=68),2026-07-01
Hard28_BPP814,81,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schoenfield Hard28; LB=81; UB=81),2026-07-01
Hard28_BPP832,60,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schoenfield Hard28; LB=60; UB=60),2026-07-01
Hard28_BPP900,75,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schoenfield Hard28; LB=75; UB=75),2026-07-01
Schwerin1_BPP1,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP10,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP100,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP11,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP12,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP13,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP14,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
